LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4750849185670692
Amygdala;DICE;STD;0.07995907205734885
GreyMatter;DICE;MEAN;0.6652628842789425
GreyMatter;DICE;STD;0.05797340328108155
Hippocampus;DICE;MEAN;0.40348910419904993
Hippocampus;DICE;STD;0.07866776453522635
Thalamus;DICE;MEAN;0.6629863700499007
Thalamus;DICE;STD;0.09472790061954404
WhiteMatter;DICE;MEAN;0.7699473836632997
WhiteMatter;DICE;STD;0.06865024740019304
