LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6869081130671848
Amygdala;DICE;STD;0.05271153277718459
GreyMatter;DICE;MEAN;0.5492374899793936
GreyMatter;DICE;STD;0.016326767986208236
Hippocampus;DICE;MEAN;0.6833143316079359
Hippocampus;DICE;STD;0.030806513445782373
Thalamus;DICE;MEAN;0.8289187589276702
Thalamus;DICE;STD;0.02560128705788451
WhiteMatter;DICE;MEAN;0.6807264892158795
WhiteMatter;DICE;STD;0.022809319633058246
