LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.46413138557612477
Amygdala;DICE;STD;0.057698134700306235
GreyMatter;DICE;MEAN;0.7363016755219057
GreyMatter;DICE;STD;0.010128637628277197
Hippocampus;DICE;MEAN;0.4315014473793014
Hippocampus;DICE;STD;0.04758862073123087
Thalamus;DICE;MEAN;0.6746823533653057
Thalamus;DICE;STD;0.09434810772134027
WhiteMatter;DICE;MEAN;0.8305000190002362
WhiteMatter;DICE;STD;0.021895086175384992
