LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5151860088920776
Amygdala;DICE;STD;0.1928700438021856
GreyMatter;DICE;MEAN;0.5098148827611412
GreyMatter;DICE;STD;0.04367098742008238
Hippocampus;DICE;MEAN;0.5175532577643689
Hippocampus;DICE;STD;0.21393176756904894
Thalamus;DICE;MEAN;0.7273063487838701
Thalamus;DICE;STD;0.10399650483103587
WhiteMatter;DICE;MEAN;0.6350671952319003
WhiteMatter;DICE;STD;0.05440139785829365
