LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4940362104103396
Amygdala;DICE;STD;0.06118645999673572
GreyMatter;DICE;MEAN;0.736672106143974
GreyMatter;DICE;STD;0.010187075056868302
Hippocampus;DICE;MEAN;0.4249793184858726
Hippocampus;DICE;STD;0.05166355306641378
Thalamus;DICE;MEAN;0.6867097028980766
Thalamus;DICE;STD;0.10903312506463872
WhiteMatter;DICE;MEAN;0.8298334635440774
WhiteMatter;DICE;STD;0.022359437989419643
