LABEL;METRIC;STATISTIC;VALUE;TIMES
Amygdala;DICE;MEAN;0.471744748;209.038874
Amygdala;DICE;STD;0.060407219;
GreyMatter;DICE;MEAN;0.7358415067062014;
GreyMatter;DICE;STD;0.010184286;
Hippocampus;DICE;MEAN;0.42791757872825736;
Hippocampus;DICE;STD;0.048754940812112256;
Thalamus;DICE;MEAN;0.6809810851215115;
Thalamus;DICE;STD;0.102555011;
WhiteMatter;DICE;MEAN;0.8322437118147491;
WhiteMatter;DICE;STD;0.021999636;
