LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.473768015154135
Amygdala;DICE;STD;0.05859912749284196
GreyMatter;DICE;MEAN;0.7197528141344746
GreyMatter;DICE;STD;0.011431875209078523
Hippocampus;DICE;MEAN;0.42307871464425906
Hippocampus;DICE;STD;0.05663786641826672
Thalamus;DICE;MEAN;0.6676493757292522
Thalamus;DICE;STD;0.09563240819975002
WhiteMatter;DICE;MEAN;0.8200578895718103
WhiteMatter;DICE;STD;0.04032932439601415
