LABEL;METRIC;STATISTIC;VALUE;TIMES
Amygdala;DICE;MEAN;0.630357395;6.03106173
Amygdala;DICE;STD;0.083267601;
GreyMatter;DICE;MEAN;0.53360384;
GreyMatter;DICE;STD;0.024507898;
Hippocampus;DICE;MEAN;0.614712766;
Hippocampus;DICE;STD;0.103969191;
Thalamus;DICE;MEAN;0.790861784;
Thalamus;DICE;STD;0.044382785;
WhiteMatter;DICE;MEAN;0.664930567;
WhiteMatter;DICE;STD;0.030057934;
