SUBJECT;LABEL;DICE
117122;Amygdala;0.6016446739338306
117122;GreyMatter;0.5440641094651281
117122;Hippocampus;0.6546066470340766
117122;Thalamus;0.8083932331372976
117122;WhiteMatter;0.6958784415013464
118528;Amygdala;0.6363986148518661
118528;GreyMatter;0.565148917785118
118528;Hippocampus;0.7322564855604503
118528;Thalamus;0.8564915327833261
118528;WhiteMatter;0.7072133544707467
118730;Amygdala;0.7853089533417402
118730;GreyMatter;0.5566861915627416
118730;Hippocampus;0.6194525334886429
118730;Thalamus;0.8302423380631108
118730;WhiteMatter;0.6755574325125864
118932;Amygdala;0.7512936610608021
118932;GreyMatter;0.58011818587793
118932;Hippocampus;0.7293816006348819
118932;Thalamus;0.844042737856523
118932;WhiteMatter;0.7001776447770484
120111;Amygdala;0.6302116741500963
120111;GreyMatter;0.5313397951208092
120111;Hippocampus;0.7050898203592815
120111;Thalamus;0.8250515657228576
120111;WhiteMatter;0.7043000973893664
122317;Amygdala;0.7453333333333333
122317;GreyMatter;0.5578441214354799
122317;Hippocampus;0.6797487209377631
122317;Thalamus;0.7890870254700799
122317;WhiteMatter;0.7162090520745221
122620;Amygdala;0.6809262860173236
122620;GreyMatter;0.5313982442428979
122620;Hippocampus;0.7021672649913575
122620;Thalamus;0.8423063563737408
122620;WhiteMatter;0.6704594132255237
123117;Amygdala;0.7457849075135047
123117;GreyMatter;0.5650184938168428
123117;Hippocampus;0.7259008873060904
123117;Thalamus;0.8594509269862887
123117;WhiteMatter;0.7252124515745938
123925;Amygdala;0.7086761406133134
123925;GreyMatter;0.5507391017165695
123925;Hippocampus;0.7342953550147175
123925;Thalamus;0.8715293783908372
123925;WhiteMatter;0.7336240542666742
124422;Amygdala;0.7772234646482024
124422;GreyMatter;0.5334155256259379
124422;Hippocampus;0.6830201571574992
124422;Thalamus;0.8046303677260597
124422;WhiteMatter;0.6781721326003554
