LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.7062801709464012
Amygdala;DICE;STD;0.06217514200855347
GreyMatter;DICE;MEAN;0.5515772686649455
GreyMatter;DICE;STD;0.01564788178282284
Hippocampus;DICE;MEAN;0.6965919472484761
Hippocampus;DICE;STD;0.03593344117972572
Thalamus;DICE;MEAN;0.8331225462510122
Thalamus;DICE;STD;0.025206898762621652
WhiteMatter;DICE;MEAN;0.7006804074392765
WhiteMatter;DICE;STD;0.020145550019859845
